time,x,y,direction,E5:53:39:5F:31:1A,F8:9D:4B:5D:44:F4,FD:AF:34:29:05:FE,C6:62:EC:2D:90:AB,D6:77:D9:C0:A6:54,FA:C4:4A:07:18:9F,C4:35:CE:FD:FB:DF,CC:7F:D5:E0:41:92,D7:B8:72:01:49:AC,C5:EB:92:59:4D:1A,C2:80:A9:28:D0:79,FC:92:D5:14:99:90
7/9/2024 9:35,42,42,N,,-80,-79,,,,-57,-67,-54,-52,-63,-75
7/9/2024 9:35,42,42,N,,-80,,-67,-57,-66,-57,,-53,-61,,-63
7/9/2024 9:35,42,42,N,-59,-71,,-71,-56,,-57,-66,-74,,,-82
7/9/2024 9:35,42,42,N,,,,,-73,-71,-57,,,-43,-61,-80
7/9/2024 9:35,42,42,N,-59,-64,-70,,-56,,-55,,-53,-47,-59,-73
7/9/2024 9:35,42,42,N,,-72,,-60,-71,,-57,,-53,-47,,
7/9/2024 9:35,42,42,N,-58,-78,-71,-60,,-68,-57,,-53,-43,-61,-71
7/9/2024 9:35,42,42,N,-54,,-67,-70,,-61,,,-63,-61,-61,-82
7/9/2024 9:35,42,42,N,-60,-74,-71,,,-60,-57,-63,-63,-43,-66,
7/9/2024 9:35,42,42,N,,,-72,-59,-71,,-57,,-55,-43,-62,-64
7/9/2024 9:35,42,42,N,-55,,-71,,-56,-61,,,-54,,,-67
7/9/2024 9:35,42,42,N,-59,,,-60,-70,,,,-72,-43,-62,-73
7/9/2024 9:35,42,42,N,-56,,-70,-57,-56,-69,,,-53,-62,-61,-88
7/9/2024 9:35,42,42,N,,,,,,,,,,,,
7/9/2024 9:35,42,42,N,-59,,,-69,-69,,,-64,,,,
7/9/2024 9:35,42,42,N,-59,-76,-70,-63,-72,,-57,-62,-74,-43,-59,-64
7/9/2024 9:35,42,42,N,-55,,,,,-61,-62,,,-61,-67,
7/9/2024 9:36,42,42,E,-61,-60,-63,,,,,-47,-61,-55,-58,
7/9/2024 9:36,42,42,E,,,,-73,,,-49,,-59,-59,-70,
7/9/2024 9:36,42,42,E,-61,,,-74,-62,,,-48,-60,,,-81
7/9/2024 9:36,42,42,E,-60,,,-59,,-55,-54,,-52,-53,,
7/9/2024 9:36,42,42,E,-81,,-71,-58,,-54,-52,-51,,-56,-60,
7/9/2024 9:36,42,42,E,,-59,,,,-55,,-48,-61,-56,-59,-80
7/9/2024 9:36,42,42,E,-60,,-61,,-66,-58,-49,,-60,-58,-88,
7/9/2024 9:36,42,42,E,-57,-58,-79,,,,-51,-56,,-51,-64,
7/9/2024 9:36,42,42,E,-60,-58,-62,-59,-64,-59,-55,,-53,-52,-70,
7/9/2024 9:36,42,42,E,-61,,-61,,-61,-67,,,-59,-55,-85,-80
7/9/2024 9:36,42,42,E,,,-75,-76,-63,,,,,,-60,
7/9/2024 9:36,42,42,E,-60,,,-58,-64,,-51,-55,-53,,-68,-75
7/9/2024 9:36,42,42,E,-60,,-61,-60,,,,,-52,-58,,
7/9/2024 9:36,42,42,E,-62,,-62,-76,-61,-62,,-56,-59,-53,,
7/9/2024 9:36,42,42,E,,,,-75,,-59,-55,,-53,-51,-65,
7/9/2024 9:36,42,42,E,,,-80,,-67,-59,-49,,,-55,-74,
7/9/2024 9:36,42,42,E,-76,,,,-62,,,-56,-59,-52,-60,
7/9/2024 9:36,42,42,E,-60,-70,,-58,-63,,-55,,-59,-70,,
7/9/2024 9:36,42,42,E,-61,-58,,-58,-53,-66,-51,-51,-53,,-63,-78
7/9/2024 9:36,42,42,E,-61,-59,-61,,-61,,-51,-48,-59,-52,,
7/9/2024 9:36,42,42,E,-59,,,,-64,,-55,,,,,
7/9/2024 9:36,42,42,E,-60,,,-58,,,-53,-52,-52,,-67,
